Pilot_True,473,0,Pilot_True,451,0
Pilot_False,0,490,Pilot_False,0,472
Routine,463,8574,Routine,463,8614
design,6,0.03,design,12,0.06
rate,19.6318,6,rate,118.6268,8
Pilot_True,483,0,Pilot_True,498,0
Pilot_False,0,507,Pilot_False,0,470
Routine,441,8569,Routine,443,8589
design,12,0.03,design,18,0.06
rate,24.588,6,rate,127.0226,8
Pilot_True,519,0,Pilot_True,474,0
Pilot_False,0,505,Pilot_False,0,501
Routine,429,8547,Routine,421,8604
design,18,0.03,design,24,0.06
rate,30.1976,6,rate,133.9594,8
Pilot_True,492,0,Pilot_True,141,0
Pilot_False,0,482,Pilot_False,0,468
Routine,442,8584,Routine,461,8930
design,24,0.03,design,6,0.09
rate,36.083,6,rate,38.3688,6
Pilot_True,462,0,Pilot_True,319,0
Pilot_False,0,486,Pilot_False,0,533
Routine,452,8600,Routine,442,8706
design,6,0.03,design,12,0.09
rate,103.9032,8,rate,42.5056,6
Pilot_True,481,0,Pilot_True,502,0
Pilot_False,0,522,Pilot_False,0,527
Routine,463,8534,Routine,443,8528
design,12,0.03,design,18,0.09
rate,118.085,8,rate,47.5294,6
Pilot_True,497,0,Pilot_True,530,0
Pilot_False,0,498,Pilot_False,0,502
Routine,470,8535,Routine,439,8529
design,18,0.03,design,24,0.09
rate,126.7766,8,rate,53.1918,6
Pilot_True,550,0,Pilot_True,157,0
Pilot_False,0,501,Pilot_False,0,494
Routine,481,8468,Routine,443,8906
design,24,0.03,design,6,0.09
rate,133.0456,8,rate,106.1948,8
Pilot_True,309,0,Pilot_True,306,0
Pilot_False,0,514,Pilot_False,0,543
Routine,450,8727,Routine,467,8684
design,6,0.06,design,12,0.09
rate,28.1966,6,rate,118.1714,8
Pilot_True,449,0,Pilot_True,496,0
Pilot_False,0,465,Pilot_False,0,527
Routine,434,8652,Routine,441,8536
design,12,0.06,design,18,0.09
rate,32.8592,6,rate,126.0422,8
Pilot_True,536,0,Pilot_True,484,0
Pilot_False,0,500,Pilot_False,0,504
Routine,441,8523,Routine,444,8568
design,18,0.06,design,24,0.09
rate,38.2008,6,rate,133.7514,8
Pilot_True,481,0,Pilot_True,104,0
Pilot_False,0,524,Pilot_False,0,483
Routine,443,8552,Routine,420,8993
design,24,0.06,design,6,0.12
rate,44.1968,6,rate,48.4614,6
Pilot_True,263,0,Pilot_True,183,0
Pilot_False,0,525,Pilot_False,0,473
Routine,448,8764,Routine,474,8870
design,6,0.06,design,12,0.12
rate,104.0434,8,rate,53.429,6
Pilot_True,451,0,Pilot_True,373,0
Pilot_False,0,472,Pilot_False,0,530
Routine,463,8614,Routine,441,8656
design,12,0.06,design,18,0.12
rate,118.6268,8,rate,57.4434,6
Pilot_True,498,0,Pilot_True,485,0
Pilot_False,0,470,Pilot_False,0,485
Routine,443,8589,Routine,436,8594
design,18,0.06,design,24,0.12
rate,127.0226,8,rate,62.7916,6
Pilot_True,474,0,Pilot_True,122,0
Pilot_False,0,501,Pilot_False,0,502
Routine,421,8604,Routine,472,8904
design,24,0.06,design,6,0.12
rate,133.9594,8,rate,107.5244,8
Pilot_True,141,0,Pilot_True,190,0
Pilot_False,0,468,Pilot_False,0,504
Routine,461,8930,Routine,421,8885
design,6,0.09,design,12,0.12
rate,38.3688,6,rate,119.4872,8
Pilot_True,319,0,Pilot_True,367,0
Pilot_False,0,533,Pilot_False,0,484
Routine,442,8706,Routine,456,8693
design,12,0.09,design,18,0.12
rate,42.5056,6,rate,127.6242,8
Pilot_True,502,0,Pilot_True,461,0
Pilot_False,0,527,Pilot_False,0,473
Routine,443,8528,Routine,466,8600
design,18,0.09,design,24,0.12
rate,47.5294,6,rate,134.1808,8
Pilot_True,530,0,Pilot_True,81,0
Pilot_False,0,502,Pilot_False,0,490
Routine,439,8529,Routine,414,9015
design,24,0.09,design,6,0.15
rate,53.1918,6,rate,58.3872,6
Pilot_True,157,0,Pilot_True,99,0
Pilot_False,0,494,Pilot_False,0,519
Routine,443,8906,Routine,463,8919
design,6,0.09,design,12,0.15
rate,106.1948,8,rate,64.2904,6
Pilot_True,306,0,Pilot_True,235,0
Pilot_False,0,543,Pilot_False,0,512
Routine,467,8684,Routine,469,8784
design,12,0.09,design,18,0.15
rate,118.1714,8,rate,69.1036,6
Pilot_True,496,0,Pilot_True,380,0
Pilot_False,0,527,Pilot_False,0,536
Routine,441,8536,Routine,456,8628
design,18,0.09,design,24,0.15
rate,126.0422,8,rate,73.544,6
Pilot_True,484,0,Pilot_True,91,0
Pilot_False,0,504,Pilot_False,0,535
Routine,444,8568,Routine,477,8897
design,24,0.09,design,6,0.15
rate,133.7514,8,rate,109.0914,8
Pilot_True,104,0,Pilot_True,126,0
Pilot_False,0,483,Pilot_False,0,513
Routine,420,8993,Routine,481,8880
design,6,0.12,design,12,0.15
rate,48.4614,6,rate,120.0448,8
Pilot_True,183,0,Pilot_True,215,0
Pilot_False,0,473,Pilot_False,0,524
Routine,474,8870,Routine,468,8793
design,12,0.12,design,18,0.15
rate,53.429,6,rate,128.23,8
Pilot_True,373,0,Pilot_True,401,0
Pilot_False,0,530,Pilot_False,0,476
Routine,441,8656,Routine,454,8669
design,18,0.12,design,24,0.15
rate,57.4434,6,rate,134.5762,8
Pilot_True,485,0,,,
Pilot_False,0,485,,,
Routine,436,8594,,,
design,24,0.12,,,
rate,62.7916,6,,,
Pilot_True,122,0,,,
Pilot_False,0,502,,,
Routine,472,8904,,,
design,6,0.12,,,
rate,107.5244,8,,,
Pilot_True,190,0,,,
Pilot_False,0,504,,,
Routine,421,8885,,,
design,12,0.12,,,
rate,119.4872,8,,,
Pilot_True,367,0,,,
Pilot_False,0,484,,,
Routine,456,8693,,,
design,18,0.12,,,
rate,127.6242,8,,,
Pilot_True,461,0,,,
Pilot_False,0,473,,,
Routine,466,8600,,,
design,24,0.12,,,
rate,134.1808,8,,,
Pilot_True,81,0,,,
Pilot_False,0,490,,,
Routine,414,9015,,,
design,6,0.15,,,
rate,58.3872,6,,,
Pilot_True,99,0,,,
Pilot_False,0,519,,,
Routine,463,8919,,,
design,12,0.15,,,
rate,64.2904,6,,,
Pilot_True,235,0,,,
Pilot_False,0,512,,,
Routine,469,8784,,,
design,18,0.15,,,
rate,69.1036,6,,,
Pilot_True,380,0,,,
Pilot_False,0,536,,,
Routine,456,8628,,,
design,24,0.15,,,
rate,73.544,6,,,
Pilot_True,91,0,,,
Pilot_False,0,535,,,
Routine,477,8897,,,
design,6,0.15,,,
rate,109.0914,8,,,
Pilot_True,126,0,,,
Pilot_False,0,513,,,
Routine,481,8880,,,
design,12,0.15,,,
rate,120.0448,8,,,
Pilot_True,215,0,,,
Pilot_False,0,524,,,
Routine,468,8793,,,
design,18,0.15,,,
rate,128.23,8,,,
Pilot_True,401,0,,,
Pilot_False,0,476,,,
Routine,454,8669,,,
design,24,0.15,,,
rate,134.5762,8,,,
